material,tool_material,operation,v_c,f,a_p,F_c,V_b,R_a,T,source
45钢,硬质合金,milling,120.0,0.15,2.0,3200.0,0.15,1.2,45.0,nasa_milling
45钢,硬质合金,milling,150.0,0.15,2.0,3050.0,0.18,1.3,42.0,nasa_milling
45钢,硬质合金,milling,180.0,0.15,2.0,2800.0,0.22,1.5,38.0,nasa_milling
45钢,硬质合金,milling,150.0,0.10,2.0,2900.0,0.16,0.8,48.0,nasa_milling
45钢,硬质合金,milling,150.0,0.20,2.0,3200.0,0.20,1.6,40.0,nasa_milling
6061铝合金,硬质合金,milling,200.0,0.10,1.5,1800.0,0.10,0.6,60.0,nasa_milling
6061铝合金,硬质合金,milling,250.0,0.10,1.5,1600.0,0.12,0.7,55.0,nasa_milling
Ti6Al4V,硬质合金,milling,80.0,0.10,1.0,4500.0,0.30,2.0,25.0,nasa_milling
Ti6Al4V,硬质合金,milling,100.0,0.10,1.0,4200.0,0.35,2.2,22.0,nasa_milling
45钢,硬质合金,milling,120.0,0.15,3.0,3800.0,0.20,1.4,40.0,nasa_milling
45钢,硬质合金,milling,150.0,0.15,3.0,3600.0,0.25,1.5,37.0,nasa_milling
6061铝合金,硬质合金,milling,200.0,0.15,1.5,1900.0,0.12,0.7,58.0,nasa_milling
45钢,高速钢,milling,80.0,0.10,1.5,3500.0,0.25,1.8,30.0,nasa_milling
45钢,硬质合金,milling,160.0,0.12,2.5,3100.0,0.18,1.1,43.0,nasa_milling
Ti6Al4V,硬质合金,milling,90.0,0.08,1.0,4300.0,0.32,1.9,24.0,nasa_milling
