material,tool_material,operation,v_c,f,a_p,F_c,V_b,R_a,T,source
45钢,硬质合金,turning,150.0,0.20,2.0,2800.0,0.10,,120.0,phm2010
45钢,硬质合金,turning,180.0,0.20,2.0,2600.0,0.15,,100.0,phm2010
45钢,硬质合金,turning,200.0,0.20,2.0,2400.0,0.20,,85.0,phm2010
45钢,硬质合金,turning,150.0,0.15,2.0,2600.0,0.08,,135.0,phm2010
45钢,硬质合金,turning,150.0,0.25,2.0,3000.0,0.12,,110.0,phm2010
45钢,硬质合金,turning,150.0,0.20,1.5,2500.0,0.09,,125.0,phm2010
45钢,硬质合金,turning,150.0,0.20,2.5,3100.0,0.14,,115.0,phm2010
铸铁,硬质合金,turning,120.0,0.20,2.0,2200.0,0.10,,150.0,phm2010
铸铁,硬质合金,turning,150.0,0.20,2.0,2000.0,0.15,,120.0,phm2010
铸铁,硬质合金,turning,180.0,0.20,2.0,1800.0,0.22,,100.0,phm2010
45钢,硬质合金,turning,160.0,0.18,2.0,2700.0,0.12,,118.0,phm2010
45钢,硬质合金,turning,170.0,0.22,2.0,2650.0,0.18,,95.0,phm2010
45钢,硬质合金,turning,140.0,0.18,2.0,2750.0,0.08,,130.0,phm2010
45钢,硬质合金,turning,190.0,0.20,2.0,2500.0,0.25,,88.0,phm2010
45钢,硬质合金,turning,150.0,0.20,3.0,3200.0,0.16,,105.0,phm2010
