material,tool_material,operation,v_c,f,a_p,F_c,V_b,R_a,T,source
45钢,硬质合金,turning,150.0,0.20,2.0,2800.0,,0.8,120.0,qit_cemc
45钢,硬质合金,turning,180.0,0.20,2.0,2600.0,,1.0,100.0,qit_cemc
45钢,硬质合金,turning,200.0,0.15,2.0,2400.0,,0.7,110.0,qit_cemc
45钢,硬质合金,milling,150.0,0.15,2.0,3000.0,,1.2,80.0,qit_cemc
45钢,硬质合金,drilling,60.0,0.10,,1500.0,,1.5,50.0,qit_cemc
6061铝合金,硬质合金,turning,250.0,0.15,2.0,1500.0,,0.5,200.0,qit_cemc
6061铝合金,硬质合金,milling,300.0,0.10,1.5,1200.0,,0.4,250.0,qit_cemc
6061铝合金,硬质合金,drilling,100.0,0.08,,800.0,,0.6,150.0,qit_cemc
不锈钢304,硬质合金,turning,100.0,0.15,2.0,3500.0,,1.5,60.0,qit_cemc
不锈钢304,硬质合金,milling,120.0,0.10,2.0,3800.0,,1.8,55.0,qit_cemc
钛合金TC4,硬质合金,turning,60.0,0.10,1.0,4000.0,,2.0,30.0,qit_cemc
钛合金TC4,硬质合金,milling,80.0,0.08,1.0,4500.0,,2.2,25.0,qit_cemc
45钢,硬质合金,turning,160.0,0.18,2.5,2900.0,,0.9,115.0,qit_cemc
45钢,硬质合金,turning,140.0,0.22,1.5,2700.0,,0.7,125.0,qit_cemc
6061铝合金,硬质合金,turning,200.0,0.20,2.5,1700.0,,0.6,180.0,qit_cemc
