fig,n_rpm,b_mm,result,px,py,size
Fig6_up,3856,3.522,stable,1148,1164,43
Fig6_up,3826,3.094,stable,1124,1208,40
Fig6_up,3094,2.662,chatter,517,1251,40
Fig6_up,3348,2.662,chatter,728,1251,42
Fig6_up,2840,2.578,stable,307,1260,41
Fig6_up,3688,2.578,chatter,1009,1260,42
Fig6_up,3821,2.578,stable,1120,1260,43
Fig6_up,3681,2.235,stable,1003,1294,117
Fig6_up,3755,2.066,stable,1064,1311,42
Fig6_up,2840,1.813,stable,307,1336,41
Fig6_up,3641,1.808,chatter,970,1337,24
Fig6_up,3570,1.555,stable,912,1362,42
Fig6_up,3615,1.555,chatter,949,1362,42
Fig6_up,3195,1.301,chatter,601,1388,40
Fig6_up,3451,1.043,chatter,812,1414,42
Fig6_up,3511,1.043,stable,862,1414,42
Fig6_up,3532,0.874,stable,880,1431,107
Fig6_up,2891,0.79,stable,349,1440,39
Fig6_up,3655,0.79,stable,982,1440,44
Fig6_up,3582,0.616,stable,922,1457,42
Fig6_up,2962,0.536,stable,408,1465,108
Fig6_up,3195,0.531,chatter,601,1466,42
Fig6_up,3451,0.531,stable,812,1466,44
Fig6_up,3093,0.536,border,516,1465,34
Fig6_up,3348,0.358,stable,728,1483,40
Fig7_down,3341,3.348,chatter,390,1182,29
Fig7_down,4263,2.667,stable,1154,1250,42
Fig7_down,4358,2.667,stable,1233,1250,39
Fig7_down,3290,2.662,border,348,1251,22
Fig7_down,3331,2.662,chatter,382,1251,25
Fig7_down,3392,2.662,chatter,432,1251,42
Fig7_down,3473,2.662,chatter,500,1251,24
Fig7_down,3290,2.066,stable,348,1311,38
Fig7_down,3331,2.066,chatter,382,1311,41
Fig7_down,3392,2.066,chatter,432,1311,42
Fig7_down,3595,1.897,chatter,601,1328,40
Fig7_down,3901,1.808,chatter,854,1337,24
Fig7_down,4253,1.808,border,1146,1337,22
Fig7_down,3341,1.555,stable,390,1362,42
Fig7_down,3519,1.555,stable,538,1362,43
Fig7_down,3392,1.555,border,432,1362,36
Fig7_down,3463,1.555,border,492,1362,28
Fig7_down,3484,1.555,border,508,1362,28
Fig7_down,3659,1.381,chatter,654,1380,40
Fig7_down,4314,1.296,stable,1196,1388,43
Fig7_down,3729,1.038,stable,712,1414,129
Fig7_down,3392,1.043,stable,432,1414,41
Fig7_down,4053,1.043,chatter,980,1414,25
Fig7_down,3906,0.959,chatter,858,1422,42
Fig7_down,3530,0.854,stable,547,1433,79
Fig7_down,3799,0.531,stable,770,1466,44
Fig7_down,3901,0.526,stable,854,1466,29
