fig,panel,overhang,feed,n_rpm,ap_mm,ap_level_mm,ap_off_level,result,px,py,size
Fig10,bot,35,x,3000,0.400,0.40,0,stable,83,485,65
Fig10,bot,35,x,12000,0.400,0.40,0,stable,400,484,62
Fig10,bot,35,x,2990,0.200,0.20,0,stable,83,518,62
Fig10,bot,35,x,5980,0.400,0.40,0,chatter,188,484,68
Fig10,bot,35,x,8000,0.400,0.40,0,chatter,259,484,68
Fig10,bot,35,x,9990,0.400,0.40,0,chatter,329,484,67
Fig10,bot,35,x,14980,0.400,0.40,0,chatter,504,485,59
Fig10,bot,35,x,15980,0.400,0.40,0,chatter,540,484,58
Fig10,bot,35,x,17970,0.400,0.40,0,chatter,610,484,64
Fig10,bot,35,x,12980,0.400,0.40,0,chatter,434,485,61
Fig10,bot,35,x,5980,0.200,0.20,0,chatter,188,518,68
Fig10,bot,35,x,8000,0.200,0.20,0,chatter,259,518,68
Fig10,bot,35,x,9990,0.200,0.20,0,chatter,329,518,63
Fig10,bot,35,x,11990,0.200,0.20,0,chatter,399,518,62
Fig10,bot,35,x,15980,0.200,0.20,0,chatter,540,518,62
Fig10,bot,35,x,17980,0.200,0.20,0,chatter,610,518,62
Fig10,bot,35,x,12980,0.200,0.20,0,chatter,434,519,63
Fig10,bot,35,x,14980,0.200,0.20,0,chatter,504,519,65
Fig10,top,35,x,3000,4.000,4.00,0,stable,83,78,64
Fig10,top,35,x,5990,4.000,4.00,0,stable,188,78,61
Fig10,top,35,x,7990,4.000,4.00,0,stable,259,78,62
Fig10,top,35,x,9990,4.000,4.00,0,stable,329,78,64
Fig10,top,35,x,3000,3.000,3.00,0,stable,83,139,64
Fig10,top,35,x,6000,3.000,3.00,0,stable,189,139,61
Fig10,top,35,x,8000,3.000,3.00,0,stable,259,139,64
Fig10,top,35,x,10000,3.000,3.00,0,stable,329,139,64
Fig10,top,35,x,3000,2.000,2.00,0,stable,83,200,61
Fig10,top,35,x,5990,2.000,2.00,0,stable,188,200,63
Fig10,top,35,x,9990,2.000,2.00,0,stable,329,200,61
