axis,overhang_mm,mode,freq_hz,damping_ratio,modal_mass_kg
x,35,1,565.1,0.0322,0.1966
x,35,2,939.1,0.0336,0.0563
x,35,3,1311.3,0.0375,0.0302
x,35,4,1675,0.0266,0.0249
x,35,5,2050.3,0.0276,0.0247
x,45,1,468.7,0.0306,0.0925
x,45,2,791.7,0.0200,0.0397
x,45,3,1059,0.0184,0.0603
x,45,4,1369.7,0.0171,0.0410
x,45,5,1705.7,0.0119,0.0306
x,55,1,388,0.0309,0.2863
x,55,2,646.4,0.0193,0.3334
x,55,3,861.5,0.0305,0.0400
x,55,4,1144.7,0.0230,0.0291
x,55,5,1365.7,0.0200,0.0145
x,65,1,325.5,0.0424,0.1207
x,65,2,551.5,0.0197,0.0941
x,65,3,743.8,0.0315,0.0224
x,65,4,977.6,0.0298,0.0268
x,65,5,1184.3,0.0268,0.1122
y,35,1,538.5,0.0730,0.0843
y,35,2,876.6,0.0202,0.2319
y,35,3,1283.3,0.0260,0.0441
y,35,4,1604,0.0211,0.0422
y,35,5,1970,0.0367,0.0216
y,45,1,464.0,0.0662,0.1135
y,45,2,785.9,0.0196,0.0654
y,45,3,1040.3,0.0560,0.0227
y,45,4,1405,0.0227,0.0431
y,45,5,1667,0.0637,0.0100
y,55,1,378.1,0.0586,0.2372
y,55,2,625.5,0.0292,0.0592
y,55,3,846.9,0.0348,0.0344
y,55,4,1113.3,0.0367,0.0224
y,55,5,1338.3,0.0496,0.1483
y,65,1,321.3,0.0632,0.1268
y,65,2,540.6,0.0174,0.0919
y,65,3,732.8,0.0235,0.0224
y,65,4,919.3,0.0416,0.0332
y,65,5,1164.3,0.0273,0.0440
