source,ae,n_rpm,ap_mm,actual,model,paper_pred,err_type
faassen,,16425,4.007,stable,paper-Dpartition,stable,correct
faassen,,26140,3.475,chatter,paper-Dpartition,stable,aggressive
faassen,,36095,3.345,chatter,paper-Dpartition,stable,aggressive
faassen,,29908,3.078,chatter,paper-Dpartition,stable,aggressive
faassen,,19977,3.022,stable,paper-Dpartition,stable,correct
faassen,,15954,3.02,chatter,paper-Dpartition,stable,aggressive
faassen,,26428,3.009,stable,paper-Dpartition,stable,correct
faassen,,18141,3.001,stable,paper-Dpartition,stable,correct
faassen,,20009,2.963,chatter,paper-Dpartition,stable,aggressive
faassen,,22955,2.954,stable,paper-Dpartition,chatter,conservative
faassen,,29038,2.961,chatter,paper-Dpartition,chatter,correct
faassen,,16082,2.927,stable,paper-Dpartition,stable,correct
faassen,,32072,2.395,chatter,paper-Dpartition,chatter,correct
faassen,,27242,2.308,chatter,paper-Dpartition,chatter,correct
faassen,,20863,2.283,stable,paper-Dpartition,chatter,conservative
faassen,,18947,2.252,stable,paper-Dpartition,chatter,conservative
faassen,,16904,2.219,stable,paper-Dpartition,stable,correct
