pixel_x,pixel_y,size,bw,bh,fill,cls
441.0,54.5,72,12,12,0.5,0
325.1,77.3,54,9,8,0.75,1
186.3,77.4,54,8,8,0.84,1
255.6,77.6,54,8,8,0.84,1
82.0,77.7,81,13,12,0.52,0
186.3,137.4,54,8,8,0.84,1
255.6,137.4,54,8,8,0.84,1
325.0,137.4,55,9,8,0.76,1
429.4,137.4,54,8,8,0.84,1
498.6,137.4,54,8,8,0.84,1
533.6,137.4,54,8,8,0.84,1
603.0,137.4,55,9,8,0.76,1
394.5,137.5,52,8,8,0.81,1
81.0,138.8,69,13,12,0.44,0
81.7,198.2,53,8,9,0.74,1
325.2,198.2,54,9,9,0.67,1
429.3,198.2,53,8,9,0.74,1
602.9,198.2,55,9,9,0.68,1
186.3,198.3,52,8,8,0.81,1
255.6,198.3,54,8,8,0.84,1
394.6,198.3,54,8,8,0.84,1
498.7,198.3,52,8,8,0.81,1
533.6,198.3,54,8,8,0.84,1
255.6,258.6,54,8,8,0.84,1
394.6,258.6,54,8,8,0.84,1
429.4,258.6,54,8,8,0.84,1
603.0,258.6,54,9,8,0.75,1
81.9,258.7,54,9,8,0.75,1
186.2,258.7,53,8,8,0.83,1
325.2,258.7,53,9,8,0.74,1
498.7,258.7,52,8,8,0.81,1
533.6,258.7,53,8,8,0.83,1
82.2,478.7,53,9,8,0.74,1
185.7,478.7,52,8,8,0.81,1
256.2,478.7,53,9,8,0.74,1
394.7,478.7,52,8,8,0.81,1
429.4,478.7,55,8,8,0.86,1
498.9,478.7,55,9,8,0.76,1
603.3,478.8,53,8,9,0.74,1
81.6,512.4,54,8,8,0.84,1
255.6,512.4,54,8,8,0.84,1
325.0,512.4,54,9,8,0.75,1
394.5,512.4,53,8,8,0.83,1
429.3,512.4,54,8,8,0.84,1
533.5,512.4,53,8,8,0.83,1
602.7,512.4,54,8,8,0.84,1
