milling,n_rpm,b_mm,actual,paper_pred,err_type
up,3856.0,3.522,stable,unknown,conservative
up,3826.0,3.094,stable,unknown,conservative
up,3094.0,2.662,chatter,stable,aggressive
up,3348.0,2.662,chatter,stable,aggressive
up,2840.0,2.578,stable,stable,correct
up,3688.0,2.578,chatter,stable,aggressive
up,3821.0,2.578,stable,unknown,conservative
up,3681.0,2.235,stable,stable,correct
up,3755.0,2.066,stable,unknown,conservative
up,2840.0,1.813,stable,stable,correct
up,3641.0,1.808,chatter,stable,aggressive
up,3570.0,1.555,stable,unknown,conservative
up,3615.0,1.555,chatter,unknown,conservative
up,3195.0,1.301,chatter,stable,aggressive
up,3451.0,1.043,chatter,stable,aggressive
up,3511.0,1.043,stable,stable,correct
up,3532.0,0.874,stable,stable,correct
up,2891.0,0.79,stable,stable,correct
up,3655.0,0.79,stable,stable,correct
up,3582.0,0.616,stable,unknown,conservative
up,2962.0,0.536,stable,stable,correct
up,3195.0,0.531,chatter,stable,aggressive
up,3451.0,0.531,stable,stable,correct
up,3093.0,0.536,border,stable,aggressive
up,3348.0,0.358,stable,stable,correct
down,3341.0,3.348,chatter,stable,aggressive
down,4263.0,2.667,stable,unknown,conservative
down,4358.0,2.667,stable,unknown,conservative
down,3290.0,2.662,border,stable,aggressive
down,3331.0,2.662,chatter,stable,aggressive
down,3392.0,2.662,chatter,stable,aggressive
down,3473.0,2.662,chatter,stable,aggressive
down,3290.0,2.066,stable,stable,correct
down,3331.0,2.066,chatter,stable,aggressive
down,3392.0,2.066,chatter,stable,aggressive
down,3595.0,1.897,chatter,stable,aggressive
down,3901.0,1.808,chatter,stable,aggressive
down,4253.0,1.808,border,unknown,conservative
down,3341.0,1.555,stable,stable,correct
down,3519.0,1.555,stable,stable,correct
down,3392.0,1.555,border,stable,aggressive
down,3463.0,1.555,border,stable,aggressive
down,3484.0,1.555,border,stable,aggressive
down,3659.0,1.381,chatter,stable,aggressive
down,4314.0,1.296,stable,unknown,conservative
down,3729.0,1.038,stable,stable,correct
down,3392.0,1.043,stable,stable,correct
down,4053.0,1.043,chatter,stable,aggressive
down,3906.0,0.959,chatter,stable,aggressive
down,3530.0,0.854,stable,stable,correct
down,3799.0,0.531,stable,stable,correct
down,3901.0,0.526,stable,stable,correct
