fig,panel,overhang,feed,n,ap,actual,a_lim_M0,pred_M0,a_lim_ae1,pred_ae1,margin_ae1,a_lim_ae2,pred_ae2,margin_ae2,a_lim_ae4,pred_ae4,margin_ae4
Fig10,bot,35,x,3000.0,0.4,stable,2.2786460686205428,stable,20.0,stable,0.9800000000000001,20.0,stable,0.9800000000000001,20.0,stable,0.9800000000000001
Fig10,bot,35,x,12000.0,0.4,stable,20.0,stable,0.39069458693201947,chatter,0.023817614523540056,0.35162512823881753,chatter,0.1375751272483778,0.2930209401990146,chatter,0.36509015269805345
Fig10,bot,35,x,2990.0,0.2,stable,2.261890008492979,stable,20.0,stable,0.99,20.0,stable,0.99,20.0,stable,0.99
Fig10,bot,35,x,5980.0,0.4,chatter,9.765039202438432,stable,0.37813804667069295,chatter,0.05781474126126714,0.3403242420036237,chatter,0.17534971251251885,0.2836035350030197,chatter,0.41041965501502287
Fig10,bot,35,x,8000.0,0.4,chatter,17.665414726593372,stable,0.4877982741702945,stable,0.17998889872997653,0.43901844675326507,stable,0.08887655414441843,0.36584870562772087,chatter,0.09334813502669793
Fig10,bot,35,x,9990.0,0.4,chatter,20.0,stable,0.3868681495912306,chatter,0.033943994672719045,0.3481813346321076,chatter,0.14882666074746545,0.290151112193423,chatter,0.3785919928969586
Fig10,bot,35,x,14980.0,0.4,chatter,20.0,stable,0.38560365712465416,chatter,0.037334560005720975,0.3470432914121887,chatter,0.15259395556191235,0.28920274284349057,chatter,0.3831127466742949
Fig10,bot,35,x,15980.0,0.4,chatter,20.0,stable,0.514178432942958,stable,0.22205994189496603,0.46276058964866207,stable,0.1356221576610732,0.3856338247072184,chatter,0.03725341080671211
Fig10,bot,35,x,17970.0,0.4,chatter,20.0,stable,0.462852259636898,stable,0.13579335161117034,0.41656703367320824,stable,0.03977039067907821,0.3471391947276735,chatter,0.1522755311851062
Fig10,bot,35,x,12980.0,0.4,chatter,20.0,stable,0.3585678580381072,chatter,0.11554895686575893,0.32271107223429646,chatter,0.23949884096195445,0.2689258935285804,chatter,0.4873986091543454
Fig10,bot,35,x,5980.0,0.2,chatter,9.765039202438432,stable,0.37813804667069295,stable,0.4710926293693664,0.3403242420036237,stable,0.4123251437437406,0.2836035350030197,stable,0.29479017249248857
Fig10,bot,35,x,8000.0,0.2,chatter,17.665414726593372,stable,0.4877982741702945,stable,0.5899944493649882,0.43901844675326507,stable,0.5444382770722093,0.36584870562772087,stable,0.45332593248665104
Fig10,bot,35,x,9990.0,0.2,chatter,20.0,stable,0.3868681495912306,stable,0.4830280026636405,0.3481813346321076,stable,0.4255866696262673,0.290151112193423,stable,0.3107040035515207
Fig10,bot,35,x,11990.0,0.2,chatter,20.0,stable,0.3875024814256206,stable,0.4838742728454266,0.3487522332830585,stable,0.42652696982825167,0.2906268610692154,stable,0.31183236379390206
Fig10,bot,35,x,15980.0,0.2,chatter,20.0,stable,0.514178432942958,stable,0.611029970947483,0.46276058964866207,stable,0.5678110788305366,0.3856338247072184,stable,0.48137329459664396
Fig10,bot,35,x,17980.0,0.2,chatter,20.0,stable,0.4654768138480194,stable,0.5703330562340296,0.41892913246321745,stable,0.5225922847044774,0.34910761038601457,stable,0.4271107416453729
Fig10,bot,35,x,12980.0,0.2,chatter,20.0,stable,0.3585678580381072,stable,0.4422255215671205,0.32271107223429646,stable,0.38025057951902275,0.2689258935285804,stable,0.2563006954228273
Fig10,bot,35,x,14980.0,0.2,chatter,20.0,stable,0.38560365712465416,stable,0.4813327199971395,0.3470432914121887,stable,0.4237030222190438,0.28920274284349057,stable,0.3084436266628526
Fig10,top,35,x,3000.0,4.0,stable,2.2786460686205428,chatter,20.0,stable,0.8,20.0,stable,0.8,20.0,stable,0.8
Fig10,top,35,x,5990.0,4.0,stable,9.798526666122264,stable,0.3843447964616469,chatter,9.407321854815727,0.3459103168154822,chatter,10.563690949795253,0.28825859734623516,chatter,12.876429139754304
Fig10,top,35,x,7990.0,4.0,stable,17.62068067211949,stable,0.514178432942958,chatter,6.779400581050339,0.46276058964866207,chatter,7.643778423389267,0.3856338247072184,chatter,9.372534108067121
Fig10,top,35,x,9990.0,4.0,stable,20.0,stable,0.3868681495912306,chatter,9.33943994672719,0.3481813346321076,chatter,10.488266607474653,0.290151112193423,chatter,12.785919928969586
Fig10,top,35,x,3000.0,3.0,stable,2.2786460686205428,chatter,20.0,stable,0.85,20.0,stable,0.85,20.0,stable,0.85
Fig10,top,35,x,6000.0,3.0,stable,9.832070083413905,stable,0.39069458693201947,chatter,6.678632108926551,0.35162512823881753,chatter,7.531813454362833,0.2930209401990146,chatter,9.238176145235402
Fig10,top,35,x,8000.0,3.0,stable,17.665414726593372,stable,0.4877982741702945,chatter,5.150083259525175,0.43901844675326507,chatter,5.833425843916862,0.36584870562772087,chatter,7.200111012700234
Fig10,top,35,x,10000.0,3.0,stable,20.0,stable,0.39069458693201947,chatter,6.678632108926551,0.35162512823881753,chatter,7.531813454362833,0.2930209401990146,chatter,9.238176145235402
Fig10,top,35,x,3000.0,2.0,stable,2.2786460686205428,stable,20.0,stable,0.9,20.0,stable,0.9,20.0,stable,0.9
Fig10,top,35,x,5990.0,2.0,stable,9.798526666122264,stable,0.3843447964616469,chatter,4.203660927407864,0.3459103168154822,chatter,4.781845474897627,0.28825859734623516,chatter,5.938214569877152
Fig10,top,35,x,9990.0,2.0,stable,20.0,stable,0.3868681495912306,chatter,4.169719973363595,0.3481813346321076,chatter,4.744133303737327,0.290151112193423,chatter,5.892959964484793
Fig10,top,35,x,7990.0,2.0,stable,17.62068067211949,stable,0.514178432942958,chatter,2.8897002905251696,0.46276058964866207,chatter,3.3218892116946335,0.3856338247072184,chatter,4.186267054033561
Fig10,top,35,x,2990.0,1.0,stable,2.261890008492979,stable,20.0,stable,0.95,20.0,stable,0.95,20.0,stable,0.95
Fig10,top,35,x,5990.0,1.0,stable,9.798526666122264,stable,0.3843447964616469,chatter,1.6018304637039318,0.3459103168154822,chatter,1.8909227374488131,0.28825859734623516,chatter,2.469107284938576
Fig10,top,35,x,11990.0,4.0,chatter,20.0,stable,0.3875024814256206,chatter,9.322514543091467,0.3487522332830585,chatter,10.469460603434966,0.2906268610692154,chatter,12.763352724121958
Fig10,top,35,x,17960.0,3.0,chatter,20.0,stable,0.4602488861939748,chatter,5.518212406353617,0.4142239975745774,chatter,6.2424582292817945,0.34518666464548114,chatter,7.690949875138153
Fig10,top,35,x,11990.0,3.0,chatter,20.0,stable,0.3875024814256206,chatter,6.741885907318601,0.3487522332830585,chatter,7.602095452576225,0.2906268610692154,chatter,9.322514543091469
Fig10,top,35,x,12980.0,3.0,chatter,20.0,stable,0.3585678580381072,chatter,7.366617176493192,0.32271107223429646,chatter,8.29624130721466,0.2689258935285804,chatter,10.15548956865759
Fig10,top,35,x,14980.0,3.0,chatter,20.0,stable,0.38560365712465416,chatter,6.780009200042907,0.3470432914121887,chatter,7.644454666714342,0.28920274284349057,chatter,9.373345600057212
Fig10,top,35,x,15980.0,3.0,chatter,20.0,stable,0.514178432942958,chatter,4.8345504357877545,0.46276058964866207,chatter,5.48283381754195,0.3856338247072184,chatter,6.77940058105034
Fig10,top,35,x,11980.0,2.0,chatter,20.0,stable,0.3843447964616469,chatter,4.203660927407864,0.3459103168154822,chatter,4.781845474897627,0.28825859734623516,chatter,5.938214569877152
Fig10,top,35,x,12980.0,2.0,chatter,20.0,stable,0.3585678580381072,chatter,4.577744784328795,0.32271107223429646,chatter,5.197494204809772,0.2689258935285804,chatter,6.436993045771727
Fig10,top,35,x,14970.0,2.0,chatter,20.0,stable,0.3830916535115702,chatter,4.220682783525054,0.34478248816041324,chatter,4.80075864836117,0.28731874013367764,chatter,5.9609103780334065
Fig10,top,35,x,15980.0,2.0,chatter,20.0,stable,0.514178432942958,chatter,2.8897002905251696,0.46276058964866207,chatter,3.3218892116946335,0.3856338247072184,chatter,4.186267054033561
Fig10,top,35,x,17970.0,2.0,chatter,20.0,stable,0.462852259636898,chatter,3.321033241944148,0.41656703367320824,chatter,3.8011480466046086,0.3471391947276735,chatter,4.761377655925531
Fig10,top,35,x,7990.0,1.0,chatter,17.62068067211949,stable,0.514178432942958,chatter,0.9448501452625848,0.46276058964866207,chatter,1.160944605847317,0.3856338247072184,chatter,1.5931335270167801
Fig10,top,35,x,9980.0,1.0,chatter,20.0,stable,0.3830916535115702,chatter,1.610341391762527,0.34478248816041324,chatter,1.9003793241805853,0.28731874013367764,chatter,2.4804551890167033
Fig10,top,35,x,11980.0,1.0,chatter,20.0,stable,0.3843447964616469,chatter,1.6018304637039318,0.3459103168154822,chatter,1.8909227374488131,0.28825859734623516,chatter,2.469107284938576
Fig10,top,35,x,15980.0,1.0,chatter,20.0,stable,0.514178432942958,chatter,0.9448501452625848,0.46276058964866207,chatter,1.160944605847317,0.3856338247072184,chatter,1.5931335270167801
Fig10,top,35,x,17970.0,1.0,chatter,20.0,stable,0.462852259636898,chatter,1.160516620972074,0.41656703367320824,chatter,1.4005740233023043,0.3471391947276735,chatter,1.8806888279627654
Fig10,top,35,x,12980.0,1.0,chatter,20.0,stable,0.3585678580381072,chatter,1.7888723921643972,0.32271107223429646,chatter,2.098747102404886,0.2689258935285804,chatter,2.7184965228858635
Fig10,top,35,x,14970.0,1.0,chatter,20.0,stable,0.3830916535115702,chatter,1.610341391762527,0.34478248816041324,chatter,1.9003793241805853,0.28731874013367764,chatter,2.4804551890167033
Fig15,bot,65,x,11960.0,0.2,chatter,20.0,stable,0.10179922807523145,chatter,0.9646514397161875,0.1,chatter,1.0,0.1,chatter,1.0
Fig15,bot,65,x,2990.0,0.2,chatter,2.261890008492979,stable,0.11931887028484829,chatter,0.6761808046165939,0.10738698325636346,chatter,0.8624231162406599,0.1,chatter,1.0
Fig15,bot,65,x,4740.0,0.2,chatter,6.046237183575081,stable,0.1,chatter,1.0,0.1,chatter,1.0,0.1,chatter,1.0
Fig15,bot,65,x,5980.0,0.2,chatter,9.765039202438432,stable,0.10179922807523145,chatter,0.9646514397161875,0.1,chatter,1.0,0.1,chatter,1.0
Fig15,bot,65,x,6980.0,0.2,chatter,13.390755031939138,stable,0.11975286328863093,chatter,0.6701062046254018,0.10777757695976783,chatter,0.8556735606948909,0.1,chatter,1.0
Fig15,bot,65,x,7990.0,0.2,chatter,17.62068067211949,stable,0.10405238474832114,chatter,0.9221087578507129,0.1,chatter,1.0,0.1,chatter,1.0
Fig15,bot,65,x,9960.0,0.2,chatter,20.0,stable,0.13199198358272143,chatter,0.5152435365489972,0.11879278522444928,chatter,0.683603929498886,0.1,chatter,1.0
Fig15,bot,65,x,15970.0,0.2,chatter,20.0,stable,0.10337282310733321,chatter,0.9347444907481889,0.1,chatter,1.0,0.1,chatter,1.0
Fig15,bot,65,x,17960.0,0.2,chatter,20.0,stable,0.24676192256478158,stable,0.18950218120668644,0.22208573030830342,stable,0.09944686800742938,0.18507144192358618,chatter,0.08066375839108475
Fig15,bot,65,x,5980.0,0.1,chatter,9.765039202438432,stable,0.10179922807523145,stable,0.017674280141906227,0.1,chatter,0.0,0.1,chatter,0.0
Fig15,bot,65,x,3000.0,0.1,chatter,2.2786460686205428,stable,0.12242266696468673,stable,0.18315780500970974,0.11018040026821806,stable,0.09239756112189969,0.1,chatter,0.0
Fig15,bot,65,x,4750.0,0.1,chatter,6.072786319437175,stable,0.1,chatter,0.0,0.1,chatter,0.0,0.1,chatter,0.0
Fig15,bot,65,x,6990.0,0.1,chatter,13.429837830607685,stable,0.12107400898313947,stable,0.17405890132930338,0.10896660808482553,stable,0.08228766814367047,0.1,chatter,0.0
Fig15,bot,65,x,8000.0,0.1,chatter,17.665414726593372,stable,0.10542043464301934,stable,0.05141730501656835,0.1,chatter,0.0,0.1,chatter,0.0
Fig15,bot,65,x,9980.0,0.1,chatter,20.0,stable,0.1246471006592178,stable,0.19773504982360066,0.11218239059329602,stable,0.10859449980400067,0.1,chatter,0.0
Fig15,bot,65,x,11990.0,0.1,chatter,20.0,stable,0.10450709534994082,stable,0.04312717079016365,0.1,chatter,0.0,0.1,chatter,0.0
Fig15,bot,65,x,15990.0,0.1,chatter,20.0,stable,0.10473494404262605,stable,0.04520882773087626,0.1,chatter,0.0,0.1,chatter,0.0
Fig15,bot,65,x,17970.0,0.1,chatter,20.0,stable,0.24839592734348595,stable,0.597416909892736,0.22355633460913735,stable,0.5526854554363734,0.18629694550761447,stable,0.463222546523648
Fig15,top,65,x,4740.0,3.2,chatter,6.046237183575081,stable,0.1,chatter,31.0,0.1,chatter,31.0,0.1,chatter,31.0
Fig15,top,65,x,6970.0,3.2,chatter,13.351728186422054,stable,0.1184608443216773,chatter,26.01314529981303,0.10661475988950957,chatter,29.014605888681146,0.1,chatter,31.0
Fig15,top,65,x,2990.0,3.2,chatter,2.261890008492979,chatter,0.11931887028484829,chatter,25.8188928738655,0.10738698325636346,chatter,28.79876985985056,0.1,chatter,31.0
Fig15,top,65,x,5970.0,3.2,chatter,9.731607692369192,stable,0.10002247979818474,chatter,30.992808081309693,0.1,chatter,31.0,0.1,chatter,31.0
Fig15,top,65,x,7990.0,3.2,chatter,17.62068067211949,stable,0.10405238474832114,chatter,29.753740125611408,0.1,chatter,31.0,0.1,chatter,31.0
Fig15,top,65,x,9970.0,3.2,chatter,20.0,stable,0.12808013240228922,chatter,23.98435893202438,0.11527211916206032,chatter,26.76039881336042,0.1,chatter,31.0
Fig15,top,65,x,4740.0,2.0,chatter,6.046237183575081,stable,0.1,chatter,18.999999999999996,0.1,chatter,18.999999999999996,0.1,chatter,18.999999999999996
Fig15,top,65,x,5970.0,2.0,chatter,9.731607692369192,stable,0.10002247979818474,chatter,18.995505050818558,0.1,chatter,18.999999999999996,0.1,chatter,18.999999999999996
Fig15,top,65,x,6980.0,2.0,chatter,13.390755031939138,stable,0.11975286328863093,chatter,15.701062046254018,0.10777757695976783,chatter,17.55673560694891,0.1,chatter,18.999999999999996
Fig15,top,65,x,9950.0,2.0,chatter,20.0,stable,0.13646010186304958,chatter,13.656298600796783,0.12281409167674463,chatter,15.284776223107535,0.1023450763972872,chatter,18.54173146772904
Fig15,top,65,x,11970.0,2.0,chatter,20.0,stable,0.1026963279151315,chatter,18.47489302297941,0.1,chatter,18.999999999999996,0.1,chatter,18.999999999999996
Fig15,top,65,x,15970.0,2.0,chatter,20.0,stable,0.10337282310733321,chatter,18.347444907481886,0.1,chatter,18.999999999999996,0.1,chatter,18.999999999999996
Fig15,top,65,x,17960.0,2.0,chatter,20.0,stable,0.24676192256478158,chatter,7.104978187933135,0.22208573030830342,chatter,8.005531319925705,0.18507144192358618,chatter,9.806637583910847
Fig15,top,65,x,2990.0,2.0,chatter,2.261890008492979,stable,0.11931887028484829,chatter,15.761808046165939,0.10738698325636346,chatter,17.6242311624066,0.1,chatter,18.999999999999996
Fig15,top,65,x,7980.0,2.0,chatter,17.576002570577273,stable,0.1026963279151315,chatter,18.47489302297941,0.1,chatter,18.999999999999996,0.1,chatter,18.999999999999996
Fig15,top,65,x,4740.0,1.2,chatter,6.046237183575081,stable,0.1,chatter,10.999999999999998,0.1,chatter,10.999999999999998,0.1,chatter,10.999999999999998
Fig15,top,65,x,5970.0,1.1,chatter,9.731607692369192,stable,0.10002247979818474,chatter,9.997527777950207,0.1,chatter,10.0,0.1,chatter,10.0
Fig15,top,65,x,6980.0,1.1,chatter,13.390755031939138,stable,0.11975286328863093,chatter,8.18558412543971,0.10777757695976783,chatter,9.2062045838219,0.1,chatter,10.0
Fig15,top,65,x,9960.0,1.1,chatter,20.0,stable,0.13199198358272143,chatter,7.333839451019485,0.11879278522444928,chatter,8.259821612243874,0.1,chatter,10.0
