fig,panel,feed,overhang,n_rpm,ap,actual,pred_M1,margin,p_T2b_chatter_given_stable
Fig10,bot,x,35,3000.0,0.4,stable,stable,0.98,0.4366
Fig10,bot,x,35,12000.0,0.4,stable,chatter,-0.0238,
Fig10,bot,x,35,2990.0,0.2,stable,stable,0.99,0.9302
Fig10,bot,x,35,5980.0,0.4,chatter,chatter,-0.0578,
Fig10,bot,x,35,8000.0,0.4,chatter,stable,0.18,0.866
Fig10,bot,x,35,9990.0,0.4,chatter,chatter,-0.0339,
Fig10,bot,x,35,14980.0,0.4,chatter,chatter,-0.0373,
Fig10,bot,x,35,15980.0,0.4,chatter,stable,0.2221,0.9255
Fig10,bot,x,35,17970.0,0.4,chatter,stable,0.1358,0.8785
Fig10,bot,x,35,12980.0,0.4,chatter,chatter,-0.1155,
Fig10,bot,x,35,5980.0,0.2,chatter,stable,0.4711,0.8862
Fig10,bot,x,35,8000.0,0.2,chatter,stable,0.59,0.9459
Fig10,bot,x,35,9990.0,0.2,chatter,stable,0.483,0.8779
Fig10,bot,x,35,11990.0,0.2,chatter,stable,0.4839,0.006
Fig10,bot,x,35,15980.0,0.2,chatter,stable,0.611,0.0411
Fig10,bot,x,35,17980.0,0.2,chatter,stable,0.5703,0.1247
Fig10,bot,x,35,12980.0,0.2,chatter,stable,0.4422,0.2534
Fig10,bot,x,35,14980.0,0.2,chatter,stable,0.4813,0.9481
Fig10,top,x,35,3000.0,4.0,stable,stable,0.8,0.9413
Fig10,top,x,35,5990.0,4.0,stable,chatter,-9.4073,
Fig10,top,x,35,7990.0,4.0,stable,chatter,-6.7794,
Fig10,top,x,35,9990.0,4.0,stable,chatter,-9.3394,
Fig10,top,x,35,3000.0,3.0,stable,stable,0.85,0.9412
Fig10,top,x,35,6000.0,3.0,stable,chatter,-6.6786,
Fig10,top,x,35,8000.0,3.0,stable,chatter,-5.1501,
Fig10,top,x,35,10000.0,3.0,stable,chatter,-6.6786,
Fig10,top,x,35,3000.0,2.0,stable,stable,0.9,0.8377
Fig10,top,x,35,5990.0,2.0,stable,chatter,-4.2037,
Fig10,top,x,35,9990.0,2.0,stable,chatter,-4.1697,
Fig10,top,x,35,7990.0,2.0,stable,chatter,-2.8897,
Fig10,top,x,35,2990.0,1.0,stable,stable,0.95,0.5805
Fig10,top,x,35,5990.0,1.0,stable,chatter,-1.6018,
Fig10,top,x,35,11990.0,4.0,chatter,chatter,-9.3225,
Fig10,top,x,35,17960.0,3.0,chatter,chatter,-5.5182,
Fig10,top,x,35,11990.0,3.0,chatter,chatter,-6.7419,
Fig10,top,x,35,12980.0,3.0,chatter,chatter,-7.3666,
Fig10,top,x,35,14980.0,3.0,chatter,chatter,-6.78,
Fig10,top,x,35,15980.0,3.0,chatter,chatter,-4.8346,
Fig10,top,x,35,11980.0,2.0,chatter,chatter,-4.2037,
Fig10,top,x,35,12980.0,2.0,chatter,chatter,-4.5777,
Fig10,top,x,35,14970.0,2.0,chatter,chatter,-4.2207,
Fig10,top,x,35,15980.0,2.0,chatter,chatter,-2.8897,
Fig10,top,x,35,17970.0,2.0,chatter,chatter,-3.321,
Fig10,top,x,35,7990.0,1.0,chatter,chatter,-0.9449,
Fig10,top,x,35,9980.0,1.0,chatter,chatter,-1.6103,
Fig10,top,x,35,11980.0,1.0,chatter,chatter,-1.6018,
Fig10,top,x,35,15980.0,1.0,chatter,chatter,-0.9449,
Fig10,top,x,35,17970.0,1.0,chatter,chatter,-1.1605,
Fig10,top,x,35,12980.0,1.0,chatter,chatter,-1.7889,
Fig10,top,x,35,14970.0,1.0,chatter,chatter,-1.6103,
Fig15,bot,x,65,11960.0,0.2,chatter,chatter,-0.9647,
Fig15,bot,x,65,2990.0,0.2,chatter,chatter,-0.6762,
Fig15,bot,x,65,4740.0,0.2,chatter,chatter,-1.0,
Fig15,bot,x,65,5980.0,0.2,chatter,chatter,-0.9647,
Fig15,bot,x,65,6980.0,0.2,chatter,chatter,-0.6701,
Fig15,bot,x,65,7990.0,0.2,chatter,chatter,-0.9221,
Fig15,bot,x,65,9960.0,0.2,chatter,chatter,-0.5152,
Fig15,bot,x,65,15970.0,0.2,chatter,chatter,-0.9347,
