kappa_1perC,dT_C,closed_form_ratio,max_rel_err_unsat,mean_rel_err_unsat,n_unsat,n_total
0.0005,100.0,1.0526315789473684,2.1094237467877976e-16,8.965050923848139e-17,400,400
0.0005,200.0,1.1111111111111112,3.996802888650563e-16,8.193445921733655e-17,400,400
0.0005,300.0,1.1764705882352942,3.774758283725532e-16,7.738254481637339e-17,400,400
0.0005,400.0,1.25,3.552713678800501e-16,7.860379014346109e-17,400,400
0.0005,500.0,1.3333333333333333,3.3306690738754696e-16,9.700573677662306e-17,400,400
0.001,100.0,1.1111111111111112,3.996802888650563e-16,8.193445921733655e-17,400,400
0.001,200.0,1.25,3.552713678800501e-16,7.860379014346109e-17,400,400
0.001,300.0,1.4285714285714286,3.108624468950438e-16,8.19899703685678e-17,400,400
0.001,400.0,1.6666666666666667,3.996802888650563e-16,9.425793479067578e-17,400,400
0.001,500.0,2.0,0.0,0.0,400,400
0.0015,100.0,1.1764705882352942,3.774758283725532e-16,7.738254481637339e-17,400,400
0.0015,200.0,1.4285714285714286,3.108624468950438e-16,8.19899703685678e-17,400,400
0.0015,300.0,1.8181818181818181,3.663735981263017e-16,9.342526752220693e-17,400,400
0.0015,400.0,2.5,3.552713678800501e-16,7.860379014346109e-17,400,400
0.0015,500.0,4.0,0.0,0.0,400,400
