timestamp_s,laser_power_w,T1_cut_zone_c,T2_structure_c,T3_spindle_c
0.0,0,28.38,25.78,25.17
0.1,0,25.07,25.22,25.0
0.2,0,23.42,24.53,24.92
0.3,0,25.0,24.12,25.0
0.4,0,27.04,25.91,25.1
0.5,0,23.75,24.54,24.94
0.6,0,26.01,25.17,25.05
0.7,0,24.51,24.13,24.98
0.8,0,26.11,25.39,25.06
0.9,0,25.55,24.4,25.03
1.0,0,28.3,26.07,25.17
1.1,0,24.23,25.78,24.96
1.2,0,24.91,24.25,25.0
1.3,0,24.19,23.61,24.96
1.4,0,27.1,25.42,25.1
1.51,0,23.51,25.09,24.93
1.61,0,21.7,24.28,24.83
1.71,0,20.87,23.43,24.79
1.81,0,22.59,25.01,24.88
1.91,0,28.53,25.89,25.18
2.01,0,26.68,25.41,25.08
2.11,0,26.14,24.96,25.06
2.21,0,21.58,23.07,24.83
2.31,0,25.77,26.35,25.04
2.41,0,25.54,24.9,25.03
2.51,0,28.82,26.27,25.19
2.61,0,25.2,25.19,25.01
2.71,0,24.74,24.77,24.99
2.81,0,22.13,24.39,24.86
2.91,0,24.81,25.54,24.99
3.01,0,24.26,23.83,24.96
3.11,0,24.8,25.79,24.99
3.21,0,24.23,24.33,24.96
3.31,0,22.61,23.76,24.88
3.41,0,24.4,24.23,24.97
3.51,0,28.0,25.76,25.15
3.61,0,25.22,25.78,25.01
3.71,0,28.01,25.8,25.15
3.81,0,25.66,25.57,25.03
3.91,0,24.61,24.0,24.98
4.01,0,26.31,25.84,25.07
4.11,0,25.83,24.79,25.04
4.21,0,24.61,24.59,24.98
4.31,0,24.4,25.47,24.97
4.41,0,28.06,26.25,25.15
4.52,0,26.1,25.67,25.05
4.62,0,24.98,24.95,25.0
4.72,0,23.65,24.57,24.93
4.82,0,29.52,26.79,25.23
4.92,0,24.32,24.56,24.97
5.02,0,23.27,24.67,24.91
5.12,0,25.78,24.51,25.04
5.22,0,25.97,25.01,25.05
5.32,0,27.85,25.93,25.14
5.42,0,28.44,25.8,25.17
5.52,0,24.42,24.98,24.97
5.62,0,27.11,25.92,25.11
5.72,0,22.53,24.35,24.88
5.82,0,25.04,24.8,25.0
5.92,0,23.7,25.48,24.94
6.02,0,24.22,24.34,24.96
6.12,0,26.27,25.45,25.06
6.22,0,24.85,25.35,24.99
6.32,0,25.98,25.47,25.05
6.42,0,26.93,25.72,25.1
6.52,0,23.77,24.45,24.94
6.62,0,23.96,24.79,24.95
6.72,0,22.84,23.44,24.89
6.82,0,25.18,24.38,25.01
6.92,0,21.1,24.02,24.8
7.02,0,23.58,24.82,24.93
7.12,0,23.94,24.12,24.95
7.22,0,22.51,24.0,24.88
7.32,0,24.45,24.42,24.97
7.42,0,24.44,24.06,24.97
7.53,0,25.03,24.11,25.0
7.63,0,24.61,25.23,24.98
7.73,0,27.18,26.51,25.11
7.83,0,21.89,24.45,24.84
7.93,0,27.41,26.21,25.12
8.03,0,23.14,24.65,24.91
8.13,0,28.72,25.37,25.19
8.23,0,25.95,25.84,25.05
8.33,0,23.61,24.87,24.93
8.43,0,22.86,23.95,24.89
8.53,0,23.37,24.61,24.92
8.63,0,24.82,25.42,24.99
8.73,0,23.12,24.37,24.91
8.83,0,26.92,25.86,25.1
8.93,0,22.35,24.54,24.87
9.03,0,24.04,24.91,24.95
9.13,0,25.6,25.79,25.03
9.23,0,25.23,24.14,25.01
9.33,0,22.26,24.54,24.86
9.43,0,24.48,25.41,24.97
9.53,0,25.55,24.79,25.03
9.63,0,27.16,25.25,25.11
9.73,0,20.89,24.8,24.79
9.83,0,21.18,24.17,24.81
9.93,0,26.88,25.64,25.09
10.03,0,21.63,24.5,24.83
10.13,0,22.12,23.46,24.86
10.23,0,24.28,25.18,24.96
10.33,0,25.6,25.59,25.03
10.43,0,24.11,24.65,24.96
10.54,0,22.73,24.16,24.89
10.64,0,26.19,25.21,25.06
10.74,0,25.95,25.0,25.05
10.84,0,23.82,24.66,24.94
10.94,0,24.61,25.18,24.98
11.04,0,25.36,25.98,25.02
11.14,0,24.56,24.75,24.98
11.24,0,22.92,24.39,24.9
11.34,0,26.37,25.04,25.07
11.44,0,24.9,25.33,25.0
11.54,0,24.75,24.66,24.99
11.64,0,26.95,25.63,25.1
11.74,0,25.79,25.82,25.04
11.84,0,27.29,25.51,25.11
