timestamp_s,laser_power_w,T1_cut_zone_c,Fx_n,Fy_n,Fz_n
0.0,0,25.0,446.88,240.57,640.13
0.01,0,25.0,434.96,241.24,642.42
0.02,0,25.0,438.3,239.81,637.28
0.03,0,25.0,442.85,245.25,641.43
0.04,0,25.0,441.95,240.13,637.36
0.05,0,25.0,436.84,238.31,640.38
0.06,0,25.0,439.9,243.96,642.87
0.07,0,25.0,445.85,243.02,638.96
0.08,0,25.0,440.31,233.46,646.58
0.09,0,25.0,437.61,238.31,647.19
0.1,0,25.0,435.66,237.47,639.69
0.11,0,25.0,437.63,240.3,640.92
0.12,0,25.0,442.48,239.52,642.71
0.13,0,25.0,438.62,242.38,644.64
0.14,0,25.0,433.07,239.06,640.67
0.15,0,25.0,432.44,227.8,641.2
0.16,0,25.0,437.39,243.08,639.92
0.17,0,25.0,439.91,238.57,640.37
0.18,0,25.0,436.35,237.91,643.09
0.19,0,25.0,438.95,241.97,639.92
0.2,0,25.0,438.61,236.11,643.31
0.21,0,25.0,436.66,241.45,633.77
0.22,0,25.0,441.04,241.49,637.42
0.23,0,25.0,433.52,239.33,640.37
0.24,0,25.0,437.88,237.26,643.57
0.251,0,25.0,439.51,238.3,643.32
0.261,0,25.0,439.88,237.18,643.42
0.271,0,25.0,438.52,243.63,637.28
0.281,0,25.0,441.24,244.86,641.77
0.291,0,25.0,441.95,241.74,643.36
0.301,0,25.0,440.29,241.74,639.06
0.311,0,25.0,447.62,236.49,643.23
0.321,0,25.0,436.08,242.1,645.17
0.331,0,25.0,435.64,246.92,636.16
0.341,0,25.0,436.72,241.24,635.62
0.351,0,25.0,443.84,241.91,629.2
0.361,0,25.0,434.32,237.1,641.61
0.371,0,25.0,435.72,237.1,642.4
0.381,0,25.0,436.02,241.12,634.55
0.391,0,25.0,443.9,245.55,635.4
0.401,0,25.0,430.6,233.29,643.72
0.411,0,25.0,437.66,244.06,634.63
0.421,0,25.0,436.19,239.43,644.12
0.431,0,25.0,439.04,235.83,641.08
0.441,0,25.0,440.23,241.87,639.19
0.451,0,25.0,437.43,239.97,630.11
0.461,0,25.0,440.94,244.74,642.07
0.471,0,25.0,436.13,233.84,645.08
0.481,0,25.0,437.88,239.06,640.77
0.491,0,25.0,437.55,240.05,645.81
0.501,0,25.0,437.93,247.46,641.4
0.511,0,25.0,441.15,243.63,643.53
0.521,0,25.0,444.06,242.1,637.6
0.531,0,25.0,446.33,239.31,636.61
0.541,0,25.0,443.44,242.47,639.78
0.551,0,25.0,440.2,242.21,647.51
0.561,0,25.0,439.61,234.93,637.66
0.571,0,25.0,441.92,239.11,637.28
0.581,0,25.0,442.78,242.82,639.1
0.591,0,25.0,441.03,237.39,637.5
0.601,0,25.0,438.55,234.52,641.23
0.611,0,25.0,439.57,237.88,640.29
0.621,0,25.0,440.39,236.92,637.51
0.631,0,25.0,436.71,245.16,633.19
0.641,0,25.0,439.49,243.09,635.51
0.651,0,25.0,435.98,235.89,632.62
0.661,0,25.0,444.36,238.7,635.23
0.671,0,25.0,437.05,240.21,638.2
0.681,0,25.0,435.94,241.46,635.94
0.691,0,25.0,437.87,240.1,636.55
0.701,0,25.0,439.71,236.87,649.92
0.711,0,25.0,437.77,242.09,635.98
0.721,0,25.0,434.94,238.86,637.98
0.731,0,25.0,437.99,239.2,642.82
0.741,0,25.0,446.88,247.29,639.54
0.752,0,25.0,446.53,246.01,636.79
0.762,0,25.0,437.34,238.84,646.98
0.772,0,25.0,438.65,238.24,644.67
0.782,0,25.0,438.46,238.56,641.52
0.792,0,25.0,439.84,229.58,634.19
0.802,0,25.0,441.91,233.44,643.96
0.812,0,25.0,438.82,240.1,640.21
0.822,0,25.0,431.99,236.27,634.93
0.832,0,25.0,440.04,245.13,638.2
0.842,0,25.0,439.38,231.37,637.62
0.852,0,25.0,438.14,238.36,641.47
0.862,0,25.0,444.66,239.05,640.67
0.872,0,25.0,432.94,241.52,639.25
0.882,0,25.0,432.2,240.46,636.52
0.892,0,25.0,443.13,240.95,639.46
0.902,0,25.0,445.93,238.5,637.92
0.912,0,25.0,439.28,239.62,635.79
0.922,0,25.0,441.43,240.85,637.11
0.932,0,25.0,433.02,243.99,644.45
0.942,0,25.0,442.84,243.21,646.46
0.952,0,25.0,440.71,245.89,638.89
0.962,0,25.0,436.06,239.6,638.31
0.972,0,25.0,441.53,246.79,641.28
0.982,0,25.0,443.78,248.09,646.79
0.992,0,25.0,440.03,237.01,648.13
1.002,0,25.0,435.43,232.47,631.77
1.012,0,25.0,444.37,233.86,638.7
1.022,0,25.0,439.2,244.91,634.26
1.032,0,25.0,439.93,240.93,645.34
1.042,0,25.0,438.78,240.82,638.63
1.052,0,25.0,444.1,243.51,638.21
1.062,0,25.0,441.94,233.86,640.04
1.072,0,25.0,436.24,238.12,643.8
1.082,0,25.0,448.36,240.62,639.25
1.092,0,25.0,438.48,242.81,639.1
1.102,0,25.0,443.73,245.96,642.33
1.112,0,25.0,438.29,242.88,637.08
1.122,0,25.0,432.82,244.4,647.5
1.132,0,25.0,445.13,238.41,626.34
1.142,0,25.0,436.91,242.31,638.25
1.152,0,25.0,445.37,236.57,641.79
1.162,0,25.0,440.7,240.83,634.18
1.172,0,25.0,439.38,240.84,638.18
1.182,0,25.0,434.54,237.82,635.94
1.192,0,25.0,441.15,243.63,641.07
1.202,0,25.0,441.23,239.03,640.52
1.212,0,25.0,431.94,240.04,643.29
1.222,0,25.0,437.62,242.51,633.7
1.232,0,25.0,439.91,238.97,641.58
1.242,0,25.0,440.3,248.63,626.96
1.253,0,25.0,433.9,237.0,640.09
1.263,0,25.0,437.11,236.99,633.38
1.273,0,25.0,434.25,236.2,645.79
1.283,0,25.0,436.44,250.76,643.97
1.293,0,25.0,438.54,242.98,643.81
1.303,0,25.0,434.88,233.18,645.6
1.313,0,25.0,435.85,243.19,642.44
1.323,0,25.0,432.99,242.31,641.97
1.333,0,25.0,444.87,239.58,641.54
1.343,0,25.0,441.24,238.77,646.3
1.353,0,25.0,443.6,245.9,641.15
1.363,0,25.0,444.4,235.88,637.22
1.373,0,25.0,443.74,238.8,638.12
1.383,0,25.0,440.35,233.35,640.38
1.393,0,25.0,441.68,238.42,635.19
1.403,0,25.0,446.75,241.42,635.59
1.413,0,25.0,437.34,233.21,632.71
1.423,0,25.0,432.02,236.35,641.4
1.433,0,25.0,442.68,239.24,643.81
1.443,0,25.0,441.99,235.09,636.32
1.453,0,25.0,440.85,242.45,644.07
1.463,0,25.0,434.19,231.9,647.83
1.473,0,25.0,438.6,243.74,639.88
1.483,0,25.0,434.19,245.38,641.64
1.493,0,25.0,445.7,242.21,635.81
1.503,0,25.0,439.63,243.8,637.02
1.513,0,25.0,440.55,244.48,634.84
1.523,0,25.0,438.32,240.52,643.67
1.533,0,25.0,439.44,236.95,642.09
1.543,0,25.0,437.38,241.52,641.28
1.553,0,25.0,439.06,243.29,644.59
1.563,0,25.0,434.61,241.95,639.2
1.573,0,25.0,438.66,240.21,644.6
1.583,0,25.0,439.29,238.59,634.86
1.593,0,25.0,439.22,239.9,636.08
1.603,0,25.0,438.69,241.83,645.49
1.613,0,25.0,438.79,247.94,643.95
1.623,0,25.0,443.45,242.36,640.4
1.633,0,25.0,437.49,239.76,640.28
1.643,0,25.0,440.69,246.22,648.08
1.653,0,25.0,442.24,244.1,637.35
1.663,0,25.0,432.17,239.72,641.12
1.673,0,25.0,445.75,249.83,641.22
1.683,0,25.0,445.38,244.62,641.04
1.693,0,25.0,443.5,241.73,646.41
1.703,0,25.0,435.98,230.93,640.75
1.713,0,25.0,443.92,244.43,637.96
1.723,0,25.0,442.41,237.62,642.97
1.733,0,25.0,437.26,235.95,644.01
1.743,0,25.0,435.23,234.35,643.42
1.754,0,25.0,440.65,230.99,644.98
1.764,0,25.0,435.33,238.43,639.8
1.774,0,25.0,448.31,240.16,643.87
1.784,0,25.0,439.7,242.3,634.62
1.794,0,25.0,440.26,237.81,636.2
1.804,0,25.0,441.45,244.41,642.16
1.814,0,25.0,439.0,243.19,635.82
1.824,0,25.0,441.53,242.34,639.91
1.834,0,25.0,439.25,240.74,638.0
1.844,0,25.0,439.38,243.2,632.58
1.854,0,25.0,445.24,242.08,641.11
1.864,0,25.0,436.23,238.6,637.87
1.874,0,25.0,442.96,242.76,644.84
1.884,0,25.0,440.47,232.15,636.36
1.894,0,25.0,438.74,241.51,634.2
1.904,0,25.0,439.38,240.43,637.78
1.914,0,25.0,439.4,249.22,640.07
1.924,0,25.0,448.02,241.09,637.31
1.934,0,25.0,442.33,238.49,639.85
1.944,0,25.0,431.17,241.49,637.77
1.954,0,25.0,444.59,240.52,638.56
1.964,0,25.0,435.9,240.15,638.57
1.974,0,25.0,436.96,247.48,639.47
1.984,0,25.0,443.59,245.88,641.64
1.994,0,25.0,442.53,242.04,643.84
2.004,0,25.0,442.31,242.01,640.57
2.014,0,25.0,438.1,238.3,637.49
2.024,0,25.0,440.78,245.21,636.27
2.034,0,25.0,437.59,236.11,639.79
2.044,0,25.0,444.06,238.68,641.21
2.054,0,25.0,430.8,239.41,641.92
2.064,0,25.0,437.56,233.53,641.82
2.074,0,25.0,439.56,247.17,637.7
2.084,0,25.0,439.38,238.48,640.39
2.094,0,25.0,432.79,245.37,642.51
2.104,0,25.0,439.09,238.57,642.05
2.114,0,25.0,441.42,238.34,639.34
2.124,0,25.0,441.36,238.32,638.7
2.134,0,25.0,438.32,238.57,634.87
2.144,0,25.0,436.27,241.46,643.12
2.154,0,25.0,439.8,225.86,634.15
2.164,0,25.0,441.62,246.66,644.78
2.174,0,25.0,439.19,238.62,638.31
2.184,0,25.0,446.87,240.94,636.38
2.194,0,25.0,443.77,243.3,632.05
2.204,0,25.0,437.53,244.0,643.62
2.214,0,25.0,435.12,240.03,643.5
2.224,0,25.0,441.39,235.9,639.32
2.234,0,25.0,442.66,241.99,636.26
2.244,0,25.0,449.3,240.94,634.14
2.255,0,25.0,438.77,229.27,637.37
2.265,0,25.0,439.91,249.58,640.85
2.275,0,25.0,441.54,243.09,640.93
2.285,0,25.0,437.75,245.45,642.16
2.295,0,25.0,446.2,244.17,636.44
2.305,0,25.0,438.33,238.54,638.62
2.315,0,25.0,441.9,239.45,637.03
2.325,0,25.0,445.92,245.5,640.3
2.335,0,25.0,436.0,237.73,637.2
2.345,0,25.0,436.66,236.35,641.11
2.355,0,25.0,441.34,241.86,636.52
2.365,0,25.0,441.34,247.98,641.1
2.375,0,25.0,438.64,250.88,641.41
2.385,0,25.0,437.73,243.65,637.4
2.395,0,25.0,438.77,244.14,637.81
2.405,0,25.0,434.38,242.96,643.47
2.415,0,25.0,434.8,238.83,644.46
2.425,0,25.0,441.19,243.48,639.75
2.435,0,25.0,437.75,238.04,639.02
2.445,0,25.0,440.94,229.69,632.75
2.455,0,25.0,440.28,242.88,637.68
2.465,0,25.0,440.3,236.06,634.87
2.475,0,25.0,440.9,240.01,638.28
2.485,0,25.0,435.19,240.56,640.03
2.495,0,25.0,439.28,239.8,638.83
2.505,0,25.0,442.3,241.8,647.2
2.515,0,25.0,445.73,240.05,635.43
2.525,0,25.0,442.67,237.86,646.13
2.535,0,25.0,434.4,238.51,646.17
2.545,0,25.0,440.2,243.0,642.74
2.555,0,25.0,438.26,243.43,636.78
2.565,0,25.0,438.89,248.4,639.44
2.575,0,25.0,441.58,235.98,645.36
2.585,0,25.0,436.57,237.25,637.79
2.595,0,25.0,436.45,234.6,638.98
2.605,0,25.0,438.23,239.71,636.28
2.615,0,25.0,436.59,238.85,640.08
2.625,0,25.0,436.47,239.93,639.16
2.635,0,25.0,444.17,242.53,642.01
2.645,0,25.0,443.98,237.6,645.32
2.655,0,25.0,440.78,238.15,641.62
2.665,0,25.0,435.9,246.95,641.04
2.675,0,25.0,434.26,235.69,638.08
2.685,0,25.0,437.89,241.81,643.48
2.695,0,25.0,444.01,242.16,636.43
2.705,0,25.0,444.39,244.81,632.52
2.715,0,25.0,437.84,238.67,637.02
2.725,0,25.0,444.07,241.82,640.27
2.735,0,25.0,435.3,232.05,636.41
2.745,0,25.0,436.8,236.52,631.79
2.756,0,25.0,434.06,238.32,641.28
2.766,0,25.0,437.92,239.07,639.68
2.776,0,25.0,439.7,244.63,636.86
2.786,0,25.0,440.75,234.82,644.54
2.796,0,25.0,442.8,243.81,640.4
2.806,0,25.0,439.49,234.99,641.18
2.816,0,25.0,445.26,229.2,646.78
2.826,0,25.0,436.78,241.83,636.8
2.836,0,25.0,439.38,243.16,639.26
2.846,0,25.0,447.02,240.14,642.51
2.856,0,25.0,437.59,238.03,638.44
2.866,0,25.0,441.95,246.48,640.12
2.876,0,25.0,434.98,237.61,634.65
2.886,0,25.0,441.89,240.1,635.81
2.896,0,25.0,438.59,243.65,641.79
2.906,0,25.0,437.77,242.93,641.53
2.916,0,25.0,437.86,240.72,647.3
2.926,0,25.0,435.7,243.98,639.45
2.936,0,25.0,442.47,241.56,641.1
2.946,0,25.0,439.4,240.01,642.64
2.956,0,25.0,441.79,234.31,641.78
2.966,0,25.0,445.11,243.49,640.82
2.976,0,25.0,432.88,242.31,642.59
2.986,0,25.0,445.71,236.28,639.09
2.996,0,25.0,437.93,238.95,633.26
3.006,0,25.0,438.16,238.31,638.52
3.016,0,25.0,446.2,237.52,638.23
3.026,0,25.0,444.35,237.77,644.65
3.036,0,25.0,441.72,237.51,637.19
3.046,0,25.0,440.5,239.19,640.33
3.056,0,25.0,437.7,242.25,637.32
3.066,0,25.0,438.11,239.23,635.03
3.076,0,25.0,438.7,239.13,634.29
3.086,0,25.0,432.93,244.78,638.88
3.096,0,25.0,439.37,237.45,646.09
3.106,0,25.0,439.11,232.94,641.83
3.116,0,25.0,436.11,241.62,639.4
3.126,0,25.0,444.9,241.79,638.45
3.136,0,25.0,445.52,250.63,637.86
3.146,0,25.0,444.22,241.44,641.74
3.156,0,25.0,435.11,236.15,645.54
3.166,0,25.0,440.58,237.9,647.06
3.176,0,25.0,444.8,242.89,636.16
3.186,0,25.0,439.96,245.79,632.02
3.196,0,25.0,433.76,236.86,643.84
3.206,0,25.0,440.92,241.87,640.78
3.216,0,25.0,440.42,244.77,654.23
3.226,0,25.0,441.87,245.2,638.3
3.236,0,25.0,446.35,240.41,640.75
3.246,0,25.0,438.22,237.03,637.89
3.257,0,25.0,436.2,234.94,647.34
3.267,0,25.0,441.81,243.96,642.06
3.277,0,25.0,434.42,240.19,636.53
3.287,0,25.0,436.87,239.6,640.71
3.297,0,25.0,440.42,240.56,638.91
3.307,0,25.0,440.18,245.02,648.74
3.317,0,25.0,444.5,239.17,641.61
3.327,0,25.0,443.87,244.05,644.92
3.337,0,25.0,444.99,241.66,638.94
3.347,0,25.0,433.93,244.31,642.49
3.357,0,25.0,436.64,240.1,638.45
3.367,0,25.0,438.29,246.98,638.6
